name,description
China Energy Portal,Not terribly clear if this is due to NEA ignoring instructions from higher up to steer away from coal for many year… https://t.co/5LaiIoN3C3
China Energy Portal,"NEA gets blamed for failing to restrict coal-fired power plant construction.
Another sign of a big turnaround in en… https://t.co/cYUrL9dZDa"
China Energy Portal,RT @laurimyllyvirta: Excellent recap of the tensions between the climate ambition laid out by Xi and the economic incentives for local gove…
China Energy Portal,"China 2020 power stats:
Coal-fired power up 2.5% or 128 TWh. By the end of Q3, coal-fired power still showed a smal… https://t.co/TkYeUwGWXA"
China Energy Portal,"More on the wind rush by Feng Zhao of GWEC.
Dec 2020 capacity may now include 26 GW finished but not yet connected… https://t.co/hPTh01Hs8M"
China Energy Portal,"@ThomasShaBeng Yes, quite likely a combination of loosened restrictions on wind in the Three Norths and rush to sub… https://t.co/RSqNhNUAVj"
China Energy Portal,"@robbie_andrew Thats the big question, and not something that is specified of course. 
Best guess: as long as you f… https://t.co/GkJ7xAxDGh"
China Energy Portal,"@andy_dutoit There have been previous rushes with finishing ahead of time to meet subsidy deadlines.
But 47 GW now… https://t.co/xWSBUWlNzy"
China Energy Portal,"China's 2020 wind power installations, by month.
Surely there was an actual rush to finish projects. 
And authoriti… https://t.co/MvGzWrk7sK"
China Energy Portal,"@derznovich Well, if Q1 2021 is 0 GW, then we know the current peak is mostly fabricated pre-dating of projects tha… https://t.co/FETJaAMvha"
China Energy Portal,"We'll have to see how many projects are now pre-dated as completed for subsidy purposes, and how big the slump in n… https://t.co/08J1mzDIGE"
China Energy Portal,"By Nov 2020, new wind installations were 24.6 GW. 
Chinese industry experts expected a rush to complete projects, u… https://t.co/qgM49WcusS"
China Energy Portal,"By the end of Q3 2020, China reported 13.8 GW of new wind for the year.
This is such a crazy number that I'd like t… https://t.co/8oIV6GmQzH"
China Energy Portal,"With some perspective: 
by as late as Nov 2020, the Global Wind Energy Council expected 71.3 GW of new wind install… https://t.co/8u4OjDdTgd"
China Energy Portal,"NEA reports mind-blowing 71.7 GW of new wind.
That's a tripling of 2019 installations, and twice as much as the rec… https://t.co/8y2xj2OU7E"
China Energy Portal,"RT @laurimyllyvirta: China’s biggest coal-producing province, Inner Mongolia, approved power plants and industrial installations in 2020 wi…"
China Energy Portal,"All in all, this promises to be a fairly generously/over-allocated market and can be expected to see low prices and… https://t.co/9o5kJw7byx"
China Energy Portal,Gas-fired generators that emit more carbon dioxide than they have freely allocated quota do not have to buy and sub… https://t.co/IZspoFYWhH
China Energy Portal,"Quota are allocated for free.

Coal-fired power generators that run at less than full capacity get 'bonus' emission… https://t.co/9aW9CjcLf5"
China Energy Portal,Full translation of China's allocation rules for carbon emission quota in its newly/nearly launched carbon market… https://t.co/Wr45Es4SCI
China Energy Portal,"@StianReklev 《全国碳排放权交易管理办法（试行）》
vs.
《全国碳排放权登记交易结算管理办法（试行）》
Last oen importnat for the trading, and quite a few more… https://t.co/sJpEX1cAKk"
China Energy Portal,"@StianReklev No no, two documenst here: https://t.co/sKvbpwIdXx
One is the admin measures for the carbon market pus… https://t.co/qvfFLOFupx"
China Energy Portal,@StianReklev Still missing a final version of the emission rights registration and trading rules 《全国碳排放权登记交易结算管理办法（… https://t.co/KUYd5DzBDU
