Region,Sub-region,Country,ISO3 code,M49 code,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2019,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2020,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2021,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2022,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2000,19487,8771
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2001,20698,9324
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2002,23404,9803
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2003,27641,10688
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2004,31406,12125
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2005,35809,14410
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2006,41446,17838
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2007,47626,20455
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2008,48800,22150
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2009,52170,24030
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2010,47727,26440
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2011,108800,34150
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2012,110252,37675
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2013,116388,42773
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2014,133283,56970
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2015,166907,66033
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2016,188280,70105
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2017,202760,75800
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2018,215500,83750
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2019,232500,90240
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020,242300,94029
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021,251000,97408
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022,258200,100186
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2023,0,104097
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2000,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2001,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2002,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2003,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2004,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2005,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2006,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2007,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2008,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2009,0,0
